Date,Price,Open,High,Low,Vol.,Change %,
11-Jul-17,579.2,579.2,579.2,579.2,-,-0.62%,
10-Jul-17,582.8,582.8,582.8,582.8,-,2.05%,
7-Jul-17,571.1,571.1,571.1,571.1,-,-0.38%,
6-Jul-17,573.3,573.3,573.3,573.3,-,1.08%,
5-Jul-17,567.2,562.3,568.9,562.3,0.15K,1.79%,
4-Jul-17,557.2,557.2,557.2,557.2,-,1.07%,
30-Jun-17,551.3,529.4,551.3,521.5,1.39K,4.02%,
29-Jun-17,530,518.7,538.5,516.5,2.96K,2.02%,
28-Jun-17,519.5,511.2,522,510.5,7.02K,1.33%,
27-Jun-17,512.7,509.3,513.2,508.2,4.45K,0.87%,
26-Jun-17,508.3,508.8,510.2,506.2,7.12K,-0.26%,
23-Jun-17,509.6,504.8,510.4,504.8,7.95K,0.91%,
22-Jun-17,505,505.9,507.6,501,13.96K,-0.26%,
21-Jun-17,506.3,509.6,511.4,505.9,7.09K,-0.80%,
20-Jun-17,510.4,516.8,517.3,509.4,7.74K,-1.33%,
19-Jun-17,517.3,513.6,518.3,512.9,8.17K,0.62%,
16-Jun-17,514.1,513,515.5,513,6.43K,0.21%,
15-Jun-17,513,509.1,514.1,507.5,8.54K,0.67%,
14-Jun-17,509.6,511.3,512.6,508.5,5.13K,-0.31%,
13-Jun-17,511.2,514.7,515.3,510.5,10.63K,-0.70%,
12-Jun-17,514.8,515.2,517,512,7.22K,0.04%,
9-Jun-17,514.6,513,516.1,511.9,8.81K,0.27%,
8-Jun-17,513.2,509.6,514,509.1,7.51K,0.73%,
7-Jun-17,509.5,509.4,511.8,506.5,6.18K,0.00%,
6-Jun-17,509.5,509.7,514.1,508.5,6.20K,-0.04%,
5-Jun-17,509.7,499.9,512.1,499.1,12.05K,1.96%,
2-Jun-17,499.9,494.2,500.4,493.8,15.26K,1.07%,
1-Jun-17,494.6,500.7,502.7,492.6,14.83K,-1.22%,
31-May-17,500.7,503.3,504.2,499.4,11.58K,-0.42%,
30-May-17,502.8,512.3,513.7,500.8,15.66K,-1.84%,
29-May-17,512.2,516.7,517.1,511.9,2.74K,-0.89%,
26-May-17,516.8,519.3,520.2,515.4,7.37K,-0.69%,
25-May-17,520.4,523.7,524.2,519.6,6.65K,-0.63%,
24-May-17,523.7,525.8,527.8,522.1,5.79K,-0.40%,
23-May-17,525.8,524,526.5,522,6.91K,0.50%,
19-May-17,523.2,521,524.3,519.1,6.62K,0.36%,
18-May-17,521.3,526.8,526.8,520.1,8.42K,-1.21%,
17-May-17,527.7,524.9,529.3,524.3,10.14K,0.50%,
16-May-17,525.1,523.5,525.8,521.1,5.21K,0.34%,
15-May-17,523.3,523.9,526,522,4.82K,-0.15%,
12-May-17,524.1,524.1,524.1,524.1,-,0.89%,
11-May-17,519.5,519.5,519.5,519.5,-,-0.12%,
10-May-17,520.1,520.1,520.1,520.1,-,-1.46%,
9-May-17,527.8,527.8,527.8,527.8,-,0.40%,
8-May-17,525.7,525.7,525.7,525.7,-,-0.06%,
5-May-17,526,526,526,526,-,0.57%,
4-May-17,523,523,523,523,-,0.04%,
3-May-17,522.8,522.8,522.8,522.8,-,0.35%,
2-May-17,521,517.1,517.1,517.1,0.00K,-1.06%,
1-May-17,526.6,526.6,526.6,526.6,-,2.83%,
28-Apr-17,512.1,527.5,530.3,511.5,0.89K,-3.25%,
27-Apr-17,529.3,525.5,531.6,525.5,2.00K,-0.21%,
26-Apr-17,530.4,519.5,532.9,519,4.32K,1.71%,
25-Apr-17,521.5,527.2,531.3,517.5,7.24K,-1.70%,
24-Apr-17,530.5,526,532.5,526,7.36K,0.87%,
21-Apr-17,525.9,521,527.1,514.3,9.43K,1.21%,
