Date,Price,Open,High,Low,Vol.,Change %,
12-Jul-17,2403.10,2324.30,2424.80,2262.10,109.52K,3.39%,
11-Jul-17,2324.30,2344.00,2412.80,2265.50,146.63K,-0.84%,
10-Jul-17,2344.00,2511.40,2530.30,2271.80,123.80K,-6.67%,
7-Jul-17,2513.90,2614.20,2617.50,2484.70,90.45K,-3.84%,
6-Jul-17,2614.20,2627.90,2634.80,2581.80,60.16K,-0.52%,
5-Jul-17,2627.90,2617.30,2642.70,2562.00,89.72K,0.40%,
3-Jul-17,2572.50,2536.50,2617.50,2506.30,83.42K,1.42%,
30-Jun-17,2480.60,2558.40,2576.30,2469.50,73.00K,-3.04%,
29-Jun-17,2558.40,2577.70,2605.90,2526.50,75.32K,-0.75%,
28-Jun-17,2577.70,2583.80,2616.90,2490.10,110.42K,-0.23%,
27-Jun-17,2583.80,2446.10,2585.10,2309.60,159.26K,5.63%,
26-Jun-17,2446.10,2541.60,2584.80,2327.30,165.83K,-3.76%,
23-Jun-17,2710.40,2722.80,2759.70,2699.50,56.94K,-0.46%,
22-Jun-17,2722.80,2677.60,2757.30,2623.20,78.30K,1.69%,
21-Jun-17,2677.60,2754.40,2804.40,2624.40,116.03K,-2.79%,
20-Jun-17,2754.40,2616.80,2800.50,2614.00,111.30K,5.26%,
19-Jun-17,2616.80,2539.60,2617.80,2518.80,81.83K,3.04%,
16-Jun-17,2508.60,2442.50,2536.40,2335.30,117.21K,2.71%,
15-Jun-17,2442.50,2467.30,2521.60,2125.60,262.79K,-1.01%,
14-Jun-17,2467.30,2713.00,2803.70,2349.00,174.19K,-9.06%,
13-Jun-17,2713.00,2656.80,2784.80,2647.40,116.74K,2.12%,
12-Jun-17,2656.80,2973.40,2985.10,2483.60,217.96K,-10.65%,
9-Jun-17,2811.40,2798.80,2852.10,2786.10,67.05K,0.45%,
8-Jun-17,2798.80,2691.50,2808.40,2623.60,95.42K,3.99%,
7-Jun-17,2691.50,2870.50,2880.90,2626.60,122.68K,-6.24%,
6-Jun-17,2870.50,2705.00,2931.20,2699.70,192.23K,6.12%,
